"['MV', 'Title', 'Artists', 'TW', 'LW', 'OC', 'PLS', 'PK']"
2022-11-07 to 2022-11-20,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
▼9,SloMo - Eurovision's Dancebreak Edit,Chanel,26,17,4,11,7
NEW,High By The Beach,Lana Del Rey,28,-,1,10,28
▼12,Renacer,Eva B,28,16,3,10,10
▼8,Moscow Mule,Bad Bunny,30,22,4,9,5
▼22,Sexy,Bad Gyal,30,8,2,9,8
▼8,Llámame,wrs,32,24,4,8,14
▲5,Cinnamon Girl,Lana Del Rey,33,38,2,7,33
▲14,cuatro veinte,Emilia,33,47,2,7,33
▼7,Cool for the Summer - Sped Up (Nightcore),"Demi Lovato, Speed Radio",35,28,5,6,13
▼9,Quiero Decirte,"Abraham Mateo, Ana Mena",35,26,4,6,16
▲1,Formentera,"Aitana, Nicki Nicole",37,38,7,5,1²
RE,Bussin,"Nicki Minaj, Lil Baby",37,-,5,5,8
▼32,INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",39,7,3,4,7
RE,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),"Ariana Grande, Miley Cyrus, Lana Del Rey",39,-,13,4,1
▲8,Fiebre (Prod. King DouDou),Bad Gyal,39,47,6,4,4
RE,Duecentomila ore,Ana Mena,39,-,5,4,3
NEW,Sin Señal,"Quevedo, Ovy On The Drums",39,-,1,4,39
NEW,Super Freaky Girl - Roman Remix,Nicki Minaj,39,-,1,4,39
RE,"Set You Free - Main Theme From ""Toy Boy""",REYKO,45,-,5,3,8
RE,Yummy Yummy Love,"MOMOLAND, Natti Natasha",45,-,2,3,31
▼7,Beg for You (feat. Rina Sawayama),"Charli XCX, Rina Sawayama",45,38,5,3,18
▲2,Closer (feat. H.E.R.),"Saweetie, H.E.R.",45,47,6,3,8
RE,Las Solteras,Lola Indigo,45,-,5,3,2
▼7,Sweetest Pie,"Megan Thee Stallion, Dua Lipa",45,38,5,3,2
▼7,No vale hacer daño,Eva B,45,38,5,3,6
▼17,Andrea,"Bad Bunny, Buscabulla",45,28,4,3,8
▼22,Summertime Sadness,Lana Del Rey,53,31,2,2,31
▼22,Young And Beautiful,Lana Del Rey,53,31,9,2,1
RE,Love To Hate Me,BLACKPINK,53,-,3,2,10
RE,Bet You Wanna (feat. Cardi B),"BLACKPINK, Cardi B",53,-,3,2,5
RE,Prisoner (feat. Dua Lipa),"Miley Cyrus, Dua Lipa",53,-,11,2,1
NEW,7 Rings - The Voice Australia 2021 Performance / Live,G-Nat!on,53,-,1,2,53
RE,Musica Ligera,Ana Mena,53,-,7,2,3
RE,Sigues En Mi Mente,Marta Sango,53,-,5,2,7
RE,Cuando la noche arriba,Ana Mena,53,-,5,2,16
RE,La Prendo,Bad Gyal,53,-,2,2,12
NEW,CACHORRINHAS,Luísa Sonza,53,-,1,2,53
NEW,I'M THAT GIRL,Beyoncé,53,-,1,2,53
NEW,Caramelo,"Rocco Hunt, Lola Indigo, Elettra Lamborghini",53,-,1,2,53
,,,,,,,
2022-06-27 to 2022-07-17,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
NEW,Hot in It,"Tiësto, Charli XCX",1,-,1,156,1
NEW,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,-,1,50,2
NEW,Antes Que Salga el Sol,"FMK, Lola Indigo",3,-,1,41,3
'=,mariposas,"sangiovanni, Aitana",4,4,3,34,4²
NEW,Cake,Melanie Martinez,5,-,1,33,5
▼4,"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",5,1,2,33,1
RE,INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",7,-,2,31,7
▼3,DON'T YOU WORRY,"Black Eyed Peas, Shakira, David Guetta",8,5,2,30,5
NEW,Sexy,Bad Gyal,8,-,1,30,8
▼8,AN1MAL,Lola Indigo,10,2,3,29,2
▼4,Caramello,"Rocco Hunt, Elettra Lamborghini, Lola Indigo",11,7,2,28,7
▼6,Mezzanotte,Ana Mena,12,6,3,26,6
▼10,Te Felicito,"Shakira, Rauw Alejandro",13,3,3,25,3²
NEW,Easy Lover (feat. Big Sean),"Ellie Goulding, Big Sean",13,-,1,25,13
NEW,Pacify Her,Melanie Martinez,15,-,1,18,15
▼6,Renacer,Eva B,16,10,2,15,10
▼10,SloMo - Eurovision's Dancebreak Edit,Chanel,17,7,3,12,7
RE,MONTERO (Call Me By Your Name),Lil Nas X,18,-,2,11,17
NEW,Doin' Time,Lana Del Rey,18,-,1,11,18
▼6,Halo (feat. PIA MARIA),"LUM!X, PIA MARIA",18,12,4,11,1
▼9,As It Was,Harry Styles,18,9,4,11,2
▼11,En El Coche,Aitana,22,11,4,10,6
▼9,Moscow Mule,Bad Bunny,22,13,3,10,5
▼10,Llámame,wrs,24,14,3,8,14
▼10,Used to Know Me,Charli XCX,25,15,2,7,15
NEW,Set Fire To The Rain,Adele,26,-,1,6,26
▼10,Quiero Decirte,"Abraham Mateo, Ana Mena",26,16,3,6,16
RE,I Follow Rivers,Eva B,28,-,10,5,1
▼12,Cool for the Summer - Sped Up (Nightcore),"Demi Lovato, Speed Radio",28,16,4,5,13
▼12,Andrea,"Bad Bunny, Buscabulla",28,16,3,5,8
NEW,Summertime Sadness,Lana Del Rey,31,-,1,4,31
RE,Young And Beautiful,Lana Del Rey,31,-,8,4,1
RE,Santería,"Lola Indigo, Danna Paola, Denise Rosenthal",31,-,11,4,1
▲1,Cuestión De Suerte,Natalia Lacunza,31,32,5,4,5²
▼2,Todo Lamento,Natalia Lacunza,31,29,3,4,12
▼2,Muchas Cosas,Natalia Lacunza,31,29,4,4,1
▲1,Tiene Que Ser Para Mí,Natalia Lacunza,31,32,2,4,31
RE,The Motto,"Tiësto, Ava Max",38,-,6,3,3
NEW,Cinnamon Girl,Lana Del Rey,38,-,1,3,38
▼18,Formentera,"Aitana, Nicki Nicole",38,20,6,3,1²
▼17,Beg for You (feat. Rina Sawayama),"Charli XCX, Rina Sawayama",38,21,4,3,18
▼19,Sweetest Pie,"Megan Thee Stallion, Dua Lipa",38,19,4,3,2
▼13,No vale hacer daño,Eva B,38,25,4,3,6
▼17,Mayor Que Usted,"Natti Natasha, Daddy Yankee, Wisin & Yandel",38,21,2,3,21
NEW,2 Be Loved (Am I Ready),Lizzo,38,-,1,3,38
NEW,Control - Produced by Cuban Deejays,"Cuban Deejays, Bad Gyal, Rochy RD",38,-,1,3,38
NEW,Fancy,"Iggy Azalea, Charli XCX",47,-,1,2,47
NEW,Viva La Vida,Coldplay,47,-,1,2,47
RE,Born To Die,Lana Del Rey,47,-,4,2,27
NEW,Video Games,Lana Del Rey,47,-,1,2,47
NEW,Brooklyn Baby,Lana Del Rey,47,-,1,2,47
RE,Levitating (feat. DaBaby),"Dua Lipa, DaBaby",47,-,6,2,8
▼19,Save Your Tears (with Ariana Grande) (Remix),"The Weeknd, Ariana Grande",47,28,11,2,2
NEW,Talk Dirty (feat. 2 Chainz),"Jason Derulo, 2 Chainz",47,-,1,2,47
NEW,Play Date,Melanie Martinez,47,-,1,2,47
▼15,7 rings,Ariana Grande,47,32,21,2,11
▼2,"thank u, next",Ariana Grande,47,45,20,2,11
NEW,Old Town Road - Remix,"Lil Nas X, Billy Ray Cyrus",47,-,1,2,47
RE,bloodline,Ariana Grande,47,-,4,2,42
RE,fake smile,Ariana Grande,47,-,3,2,40
NEW,Blue Jeans,Lana Del Rey,47,-,1,2,47
▼24,Fiebre (Prod. King DouDou),Bad Gyal,47,23,5,2,4
▼2,Sad Boy (feat. Ava Max & Kylie Cantrall),"R3HAB, Jonas Blue, Ava Max, Kylie Cantrall",47,45,6,2,3²
NEW,Good Ones,Charli XCX,47,-,1,2,47
▼2,OUT OUT (feat. Charli XCX & Saweetie),"Joel Corry, Jax Jones, Charli XCX, Saweetie",47,45,8,2,3
▼24,Closer (feat. H.E.R.),"Saweetie, H.E.R.",47,23,5,2,8
NEW,cuatro veinte,Emilia,47,-,1,2,47
,,,,,,,
2022-06-06 to 2022-06-26,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
NEW,"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",1,-,1,58,1
▲23,AN1MAL,Lola Indigo,2,25,2,57,2
'=,Te Felicito,"Shakira, Rauw Alejandro",3,3,2,54,3²
▲6,mariposas,"sangiovanni, Aitana",4,10,2,52,4
NEW,DON'T YOU WORRY,"Black Eyed Peas, Shakira, David Guetta",5,-,1,50,5
▲19,Mezzanotte,Ana Mena,6,25,2,49,6
▲5,SloMo - Eurovision's Dancebreak Edit,Chanel,7,12,2,42,7
NEW,Caramello,"Rocco Hunt, Elettra Lamborghini, Lola Indigo",7,-,1,42,7
▼7,As It Was,Harry Styles,9,2,3,37,2
NEW,Renacer,Eva B,10,-,1,32,10
▲16,En El Coche,Aitana,11,27,3,28,6
▼11,Halo (feat. PIA MARIA),"LUM!X, PIA MARIA",12,1,3,26,1
▼8,Moscow Mule,Bad Bunny,13,5,2,20,5
▲9,Llámame,wrs,14,23,2,19,14
NEW,Used to Know Me,Charli XCX,15,-,1,17,15
▲4,Cool for the Summer - Sped Up (Nightcore),"Demi Lovato, Speed Radio",16,20,3,15,13
▼8,Andrea,"Bad Bunny, Buscabulla",16,8,2,15,8
'=,Quiero Decirte,"Abraham Mateo, Ana Mena",16,16,2,15,16
▼12,Sweetest Pie,"Megan Thee Stallion, Dua Lipa",19,7,3,11,2
▲19,Formentera,"Aitana, Nicki Nicole",20,39,5,10,1²
▲2,Beg for You (feat. Rina Sawayama),"Charli XCX, Rina Sawayama",21,23,3,8,18
NEW,Mayor Que Usted,"Natti Natasha, Daddy Yankee, Wisin & Yandel",21,-,1,8,21
▼11,Fiebre (Prod. King DouDou),Bad Gyal,23,12,4,7,4
▼13,Closer (feat. H.E.R.),"Saweetie, H.E.R.",23,10,4,7,8
▲14,"Set You Free - Main Theme From ""Toy Boy""",REYKO,25,39,4,6,8
▲10,Las Solteras,Lola Indigo,25,35,4,6,2
▼17,No vale hacer daño,Eva B,25,8,3,6,6
RE,Save Your Tears (with Ariana Grande) (Remix),"The Weeknd, Ariana Grande",28,-,10,5,2
RE,Todo Lamento,Natalia Lacunza,29,-,2,4,12
▲2,Bussin,"Nicki Minaj, Lil Baby",29,31,4,4,8
▼23,Muchas Cosas,Natalia Lacunza,29,6,3,4,1
RE,motive (with Doja Cat),"Ariana Grande, Doja Cat",32,-,14,3,1
RE,Todo De Ti,Rauw Alejandro,32,-,8,3,2
RE,7 rings,Ariana Grande,32,-,20,3,11
RE,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),"Ariana Grande, Miley Cyrus, Lana Del Rey",32,-,12,3,1
▲3,abcdefu,GAYLE,32,35,6,3,3
▲22,FULANITO,"Becky G, El Alfa",32,54,9,3,6
RE,Faking Love (feat. Saweetie),"Anitta, Saweetie",32,-,5,3,1
▲7,Cuestión De Suerte,Natalia Lacunza,32,39,4,3,5²
▲7,Musica Ligera,Ana Mena,32,39,6,3,3
▲7,Sigues En Mi Mente,Marta Sango,32,39,4,3,7
▲7,Duecentomila ore,Ana Mena,32,39,4,3,3
▲7,Cuando la noche arriba,Ana Mena,32,39,4,3,16
NEW,Tiene Que Ser Para Mí,Natalia Lacunza,32,-,1,3,32
RE,breathin,Ariana Grande,45,-,9,2,22
RE,God is a woman,Ariana Grande,45,-,15,2,5
RE,no tears left to cry,Ariana Grande,45,-,13,2,10
RE,Side To Side,"Ariana Grande, Nicki Minaj",45,-,17,2,19
RE,Confetti (feat. Saweetie),"Little Mix, Saweetie",45,-,9,2,3
RE,Met Him Last Night (feat. Ariana Grande),"Demi Lovato, Ariana Grande",45,-,8,2,5
RE,Greedy,Ariana Grande,45,-,10,2,17
RE,Let Me Love You,"Ariana Grande, Lil Wayne",45,-,10,2,22
RE,One Last Time,Ariana Grande,45,-,10,2,22
RE,Problem,"Ariana Grande, Iggy Azalea",45,-,8,2,22
RE,Let Them Know,Mabel,45,-,8,2,1²
RE,Need to Know,Doja Cat,45,-,8,2,9
RE,I Don't Do Drugs (feat. Ariana Grande),"Doja Cat, Ariana Grande",45,-,9,2,5
RE,Kiss Me More (feat. SZA),"Doja Cat, SZA",45,-,9,2,9
RE,"thank u, next",Ariana Grande,45,-,19,2,11
RE,"break up with your girlfriend, i'm bored",Ariana Grande,45,-,15,2,17
RE,boyfriend (with Social House),"Ariana Grande, Social House",45,-,14,2,17
RE,CA$H,"Lola Indigo, Lyanno",45,-,7,2,8
RE,Bad To You (with Normani & Nicki Minaj),"Ariana Grande, Normani, Nicki Minaj",45,-,10,2,1
RE,Sad Boy (feat. Ava Max & Kylie Cantrall),"R3HAB, Jonas Blue, Ava Max, Kylie Cantrall",45,-,5,2,3²
RE,Mon Amour - Remix,"zzoilo, Aitana",45,-,6,2,1
▲9,OUT OUT (feat. Charli XCX & Saweetie),"Joel Corry, Jax Jones, Charli XCX, Saweetie",45,54,7,2,3
RE,París,Ingratax,45,-,4,2,27
▼6,"Gimme More (""Kimme More"" Remix) (feat. Lil' Kim)","Britney Spears, Lil' Kim",45,39,7,2,1
RE,Romeo Y Julieta,"Lola Indigo, Rvfv",45,-,6,2,2
RE,Tacones Rojos,Sebastian Yatra,45,-,2,2,42
▼6,Ídem (feat. Donel),"Eva B, Donel",45,39,6,2,7
▼26,ANTAGONISTA,Belén Aguilera,45,19,2,2,19
NEW,LAS 12,"Ana Mena, Belinda",45,-,1,2,45
,,,,,,,
2022-04-25 to 2022-06-05,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
▲2,Halo (feat. PIA MARIA),"LUM!X, PIA MARIA",1,3,2,37,1
▲8,As It Was,Harry Styles,2,10,2,32,2
NEW,Te Felicito,"Shakira, Rauw Alejandro",3,-,1,27,3
▲9,SloMo,Chanel,4,13,3,26,4
NEW,Moscow Mule,Bad Bunny,5,-,1,25,5
▼5,Muchas Cosas,Natalia Lacunza,6,1,2,24,1
▼5,Sweetest Pie,"Megan Thee Stallion, Dua Lipa",7,2,2,21,2
▼2,No vale hacer daño,Eva B,8,6,2,20,6
NEW,Andrea,"Bad Bunny, Buscabulla",8,-,1,20,8
▼2,Closer (feat. H.E.R.),"Saweetie, H.E.R.",10,8,3,19,8
NEW,mariposas,"sangiovanni, Aitana",10,-,1,19,10
▼8,Fiebre (Prod. King DouDou),Bad Gyal,12,4,3,18,4
NEW,Un Verano Sin Ti,Bad Bunny,12,-,1,18,12
NEW,SloMo - Eurovision's Dancebreak Edit,Chanel,12,-,1,18,12
NEW,La Prendo,Bad Gyal,12,-,1,18,12
NEW,Heat Waves,Glass Animals,16,-,1,17,16
NEW,Quiero Decirte,"Abraham Mateo, Ana Mena",16,-,1,17,16
NEW,I.M,Michael Ben David,18,-,1,16,18
NEW,ANTAGONISTA,Belén Aguilera,19,-,1,15,19
▼7,Cool for the Summer - Sped Up (Nightcore),"Demi Lovato, Speed Radio",20,13,2,14,13
NEW,Circus,Britney Spears,21,-,1,13,21
▲28,About Damn Time,Lizzo,22,50,2,12,22
▼5,Beg for You (feat. Rina Sawayama),"Charli XCX, Rina Sawayama",23,18,2,11,18
NEW,Llámame,wrs,23,-,1,11,23
NEW,Mezzanotte,Ana Mena,25,-,1,9,25
NEW,AN1MAL,Lola Indigo,25,-,1,9,25
NEW,No Lie,"Sean Paul, Dua Lipa",27,-,1,7,27
▼21,En El Coche,Aitana,27,6,2,7,6
▼3,The Motto,"Tiësto, Ava Max",29,26,5,6,3
NEW,In corpore sano,Konstrakta,29,-,1,6,29
RE,Womanizer,Britney Spears,31,-,2,5,31
NEW,Yummy Yummy Love,"MOMOLAND, Natti Natasha",31,-,1,5,31
▼16,Bussin,"Nicki Minaj, Lil Baby",31,15,3,5,8
NEW,Ojitos Lindos,"Bad Bunny, Bomba Estéreo",31,-,1,5,31
NEW,Ainsi bas la vida,Indila,35,-,1,4,35
▼16,abcdefu,GAYLE,35,19,5,4,3
▼25,Las Solteras,Lola Indigo,35,10,3,4,2
NEW,Me Fui de Vacaciones,Bad Bunny,35,-,1,4,35
RE,Rumors (feat. Cardi B),"Lizzo, Cardi B",39,-,6,3,5
▼31,"Set You Free - Main Theme From ""Toy Boy""",REYKO,39,8,3,3,8
▼17,"Gimme More (""Kimme More"" Remix) (feat. Lil' Kim)","Britney Spears, Lil' Kim",39,22,6,3,1
▼34,Cuestión De Suerte,Natalia Lacunza,39,5,3,3,5²
▼13,Ídem (feat. Donel),"Eva B, Donel",39,26,5,3,7
▼19,Musica Ligera,Ana Mena,39,20,5,3,3
▼18,Formentera,"Aitana, Nicki Nicole",39,21,4,3,1²
▼23,Sigues En Mi Mente,Marta Sango,39,16,3,3,7
▼16,Duecentomila ore,Ana Mena,39,23,3,3,3
▼23,Cuando la noche arriba,Ana Mena,39,16,3,3,16
NEW,Maybe You’re The Problem,Ava Max,39,-,1,3,39
NEW,Después de la Playa,Bad Bunny,39,-,1,3,39
NEW,Music For a Sushi Restaurant,Harry Styles,39,-,1,3,39
NEW,Late Night Talking,Harry Styles,39,-,1,3,39
NEW,Grapejuice,Harry Styles,39,-,1,3,39
NEW,Ain't My Fault,Zara Larsson,54,-,1,2,54
NEW,Dernière danse,Indila,54,-,1,2,54
NEW,Tourner Dans Le Vide,Indila,54,-,1,2,54
▼4,OUT OUT (feat. Charli XCX & Saweetie),"Joel Corry, Jax Jones, Charli XCX, Saweetie",54,50,6,2,3
▼16,FULANITO,"Becky G, El Alfa",54,38,8,2,6
NEW,Stereo Love,"Edward Maya, Vika Jigulina",54,-,1,2,54
▼22,Lago Ness,Eva B,54,32,5,2,8
▼31,Ay Mama,Rigoberta Bandini,54,23,3,2,11
NEW,Heat Waves - Slowed,Glass Animals,54,-,1,2,54
NEW,10 Minutos,Miki Núñez,54,-,1,2,54
NEW,Todo Va A Cambiar,"Natalia Lacunza, Karma C",54,-,1,2,54
,,,,,,,
2022-03-07 to 2022-04-24,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
NEW,Muchas Cosas,Natalia Lacunza,1,-,1,94,1
NEW,Sweetest Pie,"Megan Thee Stallion, Dua Lipa",2,-,1,84,2
NEW,Halo (feat. PIA MARIA),"LUM!X, PIA MARIA",3,-,1,66,3
▲13,Fiebre (Prod. King DouDou),Bad Gyal,4,17,2,63,4
'=,Cuestión De Suerte,Natalia Lacunza,5,5,2,58,5²
NEW,En El Coche,Aitana,6,-,1,48,6
NEW,No vale hacer daño,Eva B,6,-,1,48,6
▲7,"Set You Free - Main Theme From ""Toy Boy""",REYKO,8,15,2,47,8
▲2,Closer (feat. H.E.R.),"Saweetie, H.E.R.",8,10,2,47,8
▼8,Las Solteras,Lola Indigo,10,2,2,42,2
NEW,As It Was,Harry Styles,10,-,1,42,10
NEW,Todo Lamento,Natalia Lacunza,12,-,1,40,12
▼1,SloMo,Chanel,13,12,2,39,12
NEW,Cool for the Summer - Sped Up (Nightcore),"Demi Lovato, Speed Radio",13,-,1,39,13
▼7,Bussin,"Nicki Minaj, Lil Baby",15,8,2,38,8
▼9,Sigues En Mi Mente,Marta Sango,16,7,2,35,7
▲22,Cuando la noche arriba,Ana Mena,16,38,2,35,16
NEW,Beg for You (feat. Rina Sawayama),"Charli XCX, Rina Sawayama",18,-,1,32,18
▼10,abcdefu,GAYLE,19,9,4,31,3
▼15,Musica Ligera,Ana Mena,20,5,4,26,3
▼20,Formentera,"Aitana, Nicki Nicole",21,1,3,22,1²
▼19,"Gimme More (""Kimme More"" Remix) (feat. Lil' Kim)","Britney Spears, Lil' Kim",22,3,5,19,1
▼12,Ay Mama,Rigoberta Bandini,23,11,2,15,11
▼20,Duecentomila ore,Ana Mena,23,3,2,15,3
NEW,Escapar,Marta Sango,25,-,1,11,25
▼13,The Motto,"Tiësto, Ava Max",26,13,4,9,3
▲12,Save Your Tears (with Ariana Grande) (Remix),"The Weeknd, Ariana Grande",26,38,9,9,2
▼11,Sad Boy (feat. Ava Max & Kylie Cantrall),"R3HAB, Jonas Blue, Ava Max, Kylie Cantrall",26,15,4,9,3²
▼12,¿Qué Más Quieres de Mí?,Marta Sango,26,14,8,9,1
▼6,Ídem (feat. Donel),"Eva B, Donel",26,20,4,9,7
▼13,Romeo Y Julieta,"Lola Indigo, Rvfv",31,18,5,8,2
'=,Faking Love (feat. Saweetie),"Anitta, Saweetie",32,32,4,7,1
▼11,Lago Ness,Eva B,32,21,4,7,8
NEW,Envolver,Anitta,34,-,1,6,34
'=,I Don't Do Drugs (feat. Ariana Grande),"Doja Cat, Ariana Grande",35,35,8,5,5
▼3,Kiss Me More (feat. SZA),"Doja Cat, SZA",35,32,8,5,9
▼13,HIT IT (feat. Saweetie & Lele Pons),"Black Eyed Peas, Lele Pons, Saweetie",35,22,6,5,2
NEW,Cool for the Summer,Demi Lovato,38,-,1,4,38
RE,Met Him Last Night (feat. Ariana Grande),"Demi Lovato, Ariana Grande",38,-,7,4,5
▼3,La Niña de la Escuela,"Lola Indigo, TINI, Belinda",38,35,7,4,3
RE,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),"Ariana Grande, Miley Cyrus, Lana Del Rey",38,-,11,4,1
RE,Bad To You (with Normani & Nicki Minaj),"Ariana Grande, Normani, Nicki Minaj",38,-,9,4,1
▼14,Mon Amour - Remix,"zzoilo, Aitana",38,24,5,4,1
▼3,FULANITO,"Becky G, El Alfa",38,35,7,4,6
RE,the light is coming (feat. Nicki Minaj),"Ariana Grande, Nicki Minaj",45,-,4,3,16
▼3,Need to Know,Doja Cat,45,42,7,3,9
RE,pov,Ariana Grande,45,-,13,3,3
NEW,LA FAMA (with The Weeknd),"ROSALÍA, The Weeknd",45,-,1,3,45
NEW,First Class,Jack Harlow,45,-,1,3,45
▼21,Kiss My (Uh Oh),"Anne-Marie, Little Mix",50,29,6,2,1
NEW,Happier Than Ever,Billie Eilish,50,-,1,2,50
NEW,Thunder,"Gabry Ponte, LUM!X, Prezioso",50,-,1,2,50
RE,Woman,Doja Cat,50,-,3,2,43
RE,positions,Ariana Grande,50,-,13,2,1
RE,safety net (feat. Ty Dolla $ign),"Ariana Grande, Ty Dolla $ign",50,-,12,2,13
▼12,OUT OUT (feat. Charli XCX & Saweetie),"Joel Corry, Jax Jones, Charli XCX, Saweetie",50,38,5,2,3
NEW,harleys in hawaii - slowed reverb,Lowslow,50,-,1,2,50
NEW,CANDY,ROSALÍA,50,-,1,2,50
NEW,When You're Gone,Shawn Mendes,50,-,1,2,50
NEW,About Damn Time,Lizzo,50,-,1,2,50
NEW,NO MIENTEN,Becky G,50,-,1,2,50
,,,,,,,
2021-12-20 to 2022-03-06,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
'=,Formentera,"Aitana, Nicki Nicole",1,1,2,75,1²
NEW,Las Solteras,Lola Indigo,2,-,1,69,2
▼1,"Gimme More (""Kimme More"" Remix) (feat. Lil' Kim)","Britney Spears, Lil' Kim",3,2,4,66,1
NEW,Duecentomila ore,Ana Mena,3,-,1,66,3
NEW,Cuestión De Suerte,Natalia Lacunza,5,-,1,64,5
▼2,Musica Ligera,Ana Mena,5,3,3,64,3
NEW,Sigues En Mi Mente,Marta Sango,7,-,1,62,7
NEW,Bussin,"Nicki Minaj, Lil Baby",8,-,1,61,8
▼6,abcdefu,GAYLE,9,3,3,60,3
NEW,Closer (feat. H.E.R.),"Saweetie, H.E.R.",10,-,1,49,10
NEW,Ay Mama,Rigoberta Bandini,11,-,1,48,11
NEW,SloMo,Chanel,12,-,1,45,12
▼10,The Motto,"Tiësto, Ava Max",13,3,3,44,3
▲29,¿Qué Más Quieres de Mí?,Marta Sango,14,43,7,43,1
▼12,Sad Boy (feat. Ava Max & Kylie Cantrall),"R3HAB, Jonas Blue, Ava Max, Kylie Cantrall",15,3,3,39,3²
NEW,"Set You Free - Main Theme From ""Toy Boy""",REYKO,15,-,1,39,15
NEW,Fiebre (Prod. King DouDou),Bad Gyal,17,-,1,35,17
▲7,Trakatá,"Ptazeta, Farina, Juacko",18,25,6,31,4
▼11,Romeo Y Julieta,"Lola Indigo, Rvfv",18,7,4,31,2
▲5,Ídem (feat. Donel),"Eva B, Donel",20,25,3,27,7
▲4,Lago Ness,Eva B,21,25,3,22,8
▲3,HIT IT (feat. Saweetie & Lele Pons),"Black Eyed Peas, Lele Pons, Saweetie",22,25,5,18,2
NEW,Disparar,Marta Sango,23,-,1,15,23
▼9,Mon Amour - Remix,"zzoilo, Aitana",24,15,4,14,1
▼16,Snowman,Sia,25,9,3,12,9
▼18,All I Want for Christmas Is You,Mariah Carey,25,7,3,12,7
▼16,Santa Tell Me,Ariana Grande,25,9,4,12,9
▼16,Last Christmas,Ariana Grande,25,9,3,12,9
▼20,Kiss My (Uh Oh),"Anne-Marie, Little Mix",29,9,5,11,1
▼20,Oh Santa! (feat. Ariana Grande & Jennifer Hudson),"Mariah Carey, Ariana Grande, Jennifer Hudson",29,9,3,11,9
▼22,Jingle Bell Rock - Single Version,Bobby Helms,31,9,4,10,9
▼12,Kiss Me More (feat. SZA),"Doja Cat, SZA",32,20,7,9,9
▼7,Rumors (feat. Cardi B),"Lizzo, Cardi B",32,25,5,9,5
▼14,Faking Love (feat. Saweetie),"Anitta, Saweetie",32,18,3,9,1
▼13,I Don't Do Drugs (feat. Ariana Grande),"Doja Cat, Ariana Grande",35,22,7,8,5
▼17,La Niña de la Escuela,"Lola Indigo, TINI, Belinda",35,18,6,8,3
▼10,FULANITO,"Becky G, El Alfa",35,25,6,8,6
RE,You Right,"Doja Cat, The Weeknd",38,-,5,7,11
▼13,Save Your Tears (with Ariana Grande) (Remix),"The Weeknd, Ariana Grande",38,25,8,7,2
RE,OUT OUT (feat. Charli XCX & Saweetie),"Joel Corry, Jax Jones, Charli XCX, Saweetie",38,-,4,7,3
NEW,Cuando la noche arriba,Ana Mena,38,-,1,7,38
▼17,Let Them Know,Mabel,42,25,7,6,1²
RE,Need to Know,Doja Cat,42,-,6,6,9
NEW,Tacones Rojos,Sebastian Yatra,42,-,1,6,42
NEW,Do We Have A Problem?,"Nicki Minaj, Lil Baby",42,-,1,6,42
▼21,Confetti (feat. Saweetie),"Little Mix, Saweetie",46,25,8,5,3
▼3,motive (with Doja Cat),"Ariana Grande, Doja Cat",46,43,13,5,1
▼9,Todo De Ti,Rauw Alejandro,46,37,7,5,2
▼3,CA$H,"Lola Indigo, Lyanno",46,43,6,5,8
RE,París,Ingratax,50,-,3,4,27
▼36,Shivers (feat. Jessi & SUNMI),"Ed Sheeran, Jessi, SUNMI",51,15,3,3,13
NEW,SAOKO,ROSALÍA,51,-,1,3,51
RE,God is a woman,Ariana Grande,53,-,14,2,5
RE,Into You,Ariana Grande,53,-,10,2,27
RE,7 rings,Ariana Grande,53,-,19,2,11
NEW,Womanizer,Britney Spears,53,-,1,2,53
NEW,Zorra,Bad Gyal,53,-,1,2,53
RE,Adrenalina,"Senhit, Flo Rida",53,-,3,2,11
NEW,Till The World Ends (the Femme Fatale Remix),"Britney Spears, Nicki Minaj, Kesha",53,-,1,2,53
NEW,Brividi,"Mahmood, BLANCO",53,-,1,2,53
NEW,MAMIII,"Becky G, KAROL G",53,-,1,2,53
,,,,,,,
2021-11-29 to 2021-12-19,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
NEW,Formentera,"Aitana, Nicki Nicole",1,-,1,60,1
▼1,"Gimme More (""Kimme More"" Remix) (feat. Lil' Kim)","Britney Spears, Lil' Kim",2,1,3,26,1
▲1,The Motto,"Tiësto, Ava Max",3,4,2,19,3
